policy,env,block,grade_true,volume_allocated
thompson@gamma-poisson,0,0,0.7229733006236139,0.0
thompson@gamma-poisson,0,1,0.07863729638550693,0.0
thompson@gamma-poisson,0,2,1.9752137622100945,0.0
thompson@gamma-poisson,0,3,0.1337629825382978,40.0
thompson@gamma-poisson,0,4,0.03220558901383833,0.0
thompson@gamma-poisson,0,5,0.16751606561218754,40.0
thompson@gamma-poisson,0,6,0.017263973459326534,0.0
thompson@gamma-poisson,0,7,0.3544474935558451,0.0
thompson@gamma-poisson,0,8,1.0301808666299073,40.0
thompson@gamma-poisson,0,9,2.236929144052396,120.0
thompson@gamma-poisson,0,10,0.3218129271352258,0.0
thompson@gamma-poisson,0,11,0.7474163509131219,0.0
epig@gamma-poisson,0,0,0.7229733006236139,22.0
epig@gamma-poisson,0,1,0.07863729638550693,14.0
epig@gamma-poisson,0,2,1.9752137622100945,27.0
epig@gamma-poisson,0,3,0.1337629825382978,22.0
epig@gamma-poisson,0,4,0.03220558901383833,8.0
epig@gamma-poisson,0,5,0.16751606561218754,26.0
epig@gamma-poisson,0,6,0.017263973459326534,9.0
epig@gamma-poisson,0,7,0.3544474935558451,23.0
epig@gamma-poisson,0,8,1.0301808666299073,24.0
epig@gamma-poisson,0,9,2.236929144052396,24.0
epig@gamma-poisson,0,10,0.3218129271352258,21.0
epig@gamma-poisson,0,11,0.7474163509131219,20.0
eig@lognormal-poisson,0,0,0.7229733006236139,25.0
eig@lognormal-poisson,0,1,0.07863729638550693,10.0
eig@lognormal-poisson,0,2,1.9752137622100945,30.0
eig@lognormal-poisson,0,3,0.1337629825382978,19.0
eig@lognormal-poisson,0,4,0.03220558901383833,5.0
eig@lognormal-poisson,0,5,0.16751606561218754,24.0
eig@lognormal-poisson,0,6,0.017263973459326534,1.0
eig@lognormal-poisson,0,7,0.3544474935558451,26.0
eig@lognormal-poisson,0,8,1.0301808666299073,27.0
eig@lognormal-poisson,0,9,2.236929144052396,30.0
eig@lognormal-poisson,0,10,0.3218129271352258,16.0
eig@lognormal-poisson,0,11,0.7474163509131219,27.0
maxent@lognormal-poisson,0,0,0.7229733006236139,0.0
maxent@lognormal-poisson,0,1,0.07863729638550693,0.0
maxent@lognormal-poisson,0,2,1.9752137622100945,1.0
maxent@lognormal-poisson,0,3,0.1337629825382978,0.0
maxent@lognormal-poisson,0,4,0.03220558901383833,0.0
maxent@lognormal-poisson,0,5,0.16751606561218754,0.0
maxent@lognormal-poisson,0,6,0.017263973459326534,0.0
maxent@lognormal-poisson,0,7,0.3544474935558451,0.0
maxent@lognormal-poisson,0,8,1.0301808666299073,0.0
maxent@lognormal-poisson,0,9,2.236929144052396,239.0
