policy,env,spent,rounds,decide_seconds,nlpd,grade_rmse,topm_regret
eig@gamma-poisson,1,180.0,180,0.15666305413469672,1.1267110136084566,0.1826876696029373,0.011172001678627922
eig@gamma-poisson,1,240.0,240,0.20349945296766236,1.0947954483181777,0.14412534744051034,0.011172001678627922
maxent@gamma-poisson,1,30.0,30,0.03375980505370535,1.3161293254548279,0.370462148636913,0.30626224075710534
maxent@gamma-poisson,1,60.0,60,0.05483213500701822,1.345871128742879,0.40605861162954987,0.30626224075710545
maxent@gamma-poisson,1,120.0,120,0.09575103691895492,1.3412061127659005,0.4046154411047506,0.30626224075710545
maxent@gamma-poisson,1,180.0,180,0.13725959495059215,1.340647143432247,0.40453888697041507,0.30626224075710545
maxent@gamma-poisson,1,240.0,240,0.17780572100309655,1.3406256314501845,0.40454361376779696,0.30626224075710545
d-optimality@gamma-poisson,1,30.0,30,0.0005114710656926036,1.214532833809962,0.2916082427078441,0.011172001678627922
d-optimality@gamma-poisson,1,60.0,60,0.0008980371640063822,1.176739178382271,0.2818604423598829,0.011172001678627922
d-optimality@gamma-poisson,1,120.0,120,0.001681419089436531,1.1022048824713784,0.17271679286410677,0.011172001678627922
d-optimality@gamma-poisson,1,180.0,180,0.002453235152643174,1.137720810999175,0.1934967690838701,0.011172001678627922
d-optimality@gamma-poisson,1,240.0,240,0.0032616030948702246,1.1124959704037882,0.1718131434282537,0.011172001678627922
neyman@gamma-poisson,1,30.0,30,0.0006076570716686547,1.2698657945738605,0.3636940216949017,0.011172001678627922
neyman@gamma-poisson,1,60.0,60,0.0012040370784234256,1.1858489836063002,0.26924148347293136,0.011172001678627922
neyman@gamma-poisson,1,120.0,120,0.0023587530595250428,1.1412836298233398,0.1766729901593209,0.011172001678627922
neyman@gamma-poisson,1,180.0,180,0.0035185700689908117,1.1114783911673873,0.1788026309251241,0.011172001678627922
neyman@gamma-poisson,1,240.0,240,0.00469568301923573,1.0839662062527244,0.10771332081297302,0.011172001678627922
predictive-variance@gamma-poisson,1,30.0,1,0.00010071299038827419,1.2990803707663583,0.3068037396433648,0.038736330887397814
