env,source,flux_true
17,41,1.42124
17,42,3.07069
17,43,1.42449
17,44,2.08958
17,45,32.9417
17,46,4.32691
17,47,1.80096
18,0,6.93208
18,1,4.53103
18,2,1.9938500000000001
18,3,3.39901
18,4,4.40461
18,5,13.909
18,6,19.540899999999997
18,7,2.20438
18,8,7.407360000000001
18,9,2.6683
18,10,19.5623
18,11,1.5671899999999999
18,12,9.31087
18,13,4.87416
18,14,21.938499999999998
18,15,38.1584
18,16,10.796500000000002
18,17,5.16789
18,18,1.64044
18,19,5.60085
18,20,3.61176
18,21,3.60401
18,22,7.238390000000001
18,23,1.72871
18,24,37.79130000000001
18,25,3.3493999999999997
18,26,2.71469
18,27,2.3714600000000003
18,28,1.4721499999999998
18,29,2.2972900000000003
18,30,3.61176
18,31,11.1456
18,32,4.91353
18,33,4.30819
18,34,10.014000000000001
18,35,15.6086
18,36,2.8673200000000003
18,37,1.54191
18,38,1.67434
18,39,4.82932
18,40,9.71441
18,41,1.5671899999999999
18,42,1.32263
18,43,1.2558
18,44,9.99402
18,45,23.2348
18,46,1.59833
18,47,1.68551
19,0,36.251400000000004
19,1,2.94735
19,2,4.8224
19,3,2.14939
19,4,21.923
19,5,8.630279999999999
19,6,2.7273
19,7,7.95621
19,8,2.8813799999999996
19,9,20.4589
19,10,4.29353
19,11,12.0726
19,12,9.727219999999999
19,13,1.5206
19,14,1.81163
19,15,15.6086
19,16,2.49325
19,17,10.5807
19,18,1.8803199999999998
19,19,3.1448
19,20,11.165899999999999
19,21,2.82011
19,22,2.7927999999999997
19,23,1.37592
19,24,29.890800000000002
19,25,4.1920399999999995
19,26,2.48898
19,27,2.9345999999999997
19,28,2.07663
19,29,5.91766
19,30,21.0791
19,31,4.87671
19,32,5.92539
19,33,1.3409
19,34,7.37334
19,35,9.80729
19,36,22.798099999999998
19,37,2.34996
19,38,2.6900299999999997
19,39,23.4829
19,40,13.909
19,41,9.92291
19,42,7.1786900000000005
19,43,3.8268299999999997
19,44,1.9970800000000002
19,45,36.3074
19,46,2.38557
19,47,4.19858
20,0,3.94342
20,1,4.33252
20,2,11.5075
20,3,3.89726
20,4,7.3961500000000004
20,5,9.80729
20,6,2.64135
20,7,28.104400000000002
20,8,1.72871
20,9,5.70807
20,10,3.5829999999999997
20,11,15.249699999999999
20,12,1.1375
20,13,2.95761
20,14,2.00982
20,15,16.2848
20,16,4.7320400000000005
20,17,1.78986
20,18,4.00736
20,19,2.45906
20,20,26.227
20,21,4.07417
20,22,11.8708
20,23,5.004849999999999
20,24,1.89559
20,25,32.9417
20,26,7.04967
20,27,5.9313899999999995
20,28,2.31593
20,29,4.41403
20,30,22.2656
20,31,9.91469
20,32,1.45797
20,33,2.78324
20,34,6.754709999999999
20,35,2.2823700000000002
20,36,8.66047
20,37,5.1938699999999995
20,38,3.62084
20,39,4.49905
20,40,6.1849
20,41,3.89167
20,42,5.18638
20,43,1.56903
20,44,2.45906
20,45,43.838800000000006
20,46,1.89197
20,47,3.71581
21,0,43.838800000000006
21,1,1.80664
21,2,2.16136
21,3,2.23295
21,4,5.739590000000001
21,5,13.566099999999999
21,6,2.96324
21,7,2.9345999999999997
21,8,1.9498600000000001
21,9,1.18867
21,10,40.917300000000004
21,11,3.3101
21,12,7.1786900000000005
21,13,1.90059
21,14,3.10016
21,15,41.027300000000004
21,16,4.38327
21,17,2.3616900000000003
21,18,7.4050899999999995
21,19,1.51902
21,20,3.5829999999999997
21,21,2.64135
21,22,3.6875999999999998
21,23,5.13342
21,24,4.07041
21,25,10.6847
21,26,3.80965
21,27,5.0174900000000004
21,28,1.9517
21,29,7.47117
21,30,20.678400000000003
21,31,2.79027
21,32,2.25461
21,33,1.5468499999999998
21,34,9.03736
21,35,5.47498
21,36,9.168339999999999
21,37,3.16423
21,38,3.72681
21,39,5.70807
21,40,26.5834
21,41,1.69574
21,42,4.39398
21,43,7.5220199999999995
21,44,12.0998
21,45,5.47498
21,46,8.68428
21,47,9.26413
22,0,13.909
22,1,4.57926
22,2,1.21212
22,3,2.9702699999999997
22,4,1.79752
22,5,24.154400000000003
22,6,4.60959
22,7,2.6353600000000004
22,8,3.2792
22,9,6.10813
22,10,6.46926
22,11,1.5560900000000002
22,12,3.40753
22,13,1.5095
22,14,1.40355
22,15,1.28569
22,16,1.21189
22,17,2.5936500000000002
22,18,2.15881
22,19,4.36191
22,20,3.58615
22,21,20.739199999999997
22,22,4.06767
22,23,1.35464
22,24,10.6107
22,25,2.2823700000000002
22,26,6.14073
22,27,11.641900000000001
22,28,2.15739
22,29,3.28117
22,30,7.64696
22,31,4.7320400000000005
22,32,1.80096
22,33,2.07417
22,34,1.9913800000000001
22,35,7.366759999999999
22,36,2.7384399999999998
22,37,6.299910000000001
22,38,1.56903
22,39,3.43019
22,40,6.1849
22,41,4.57926
22,42,30.8604
22,43,1.71926
22,44,32.9988
22,45,40.3706
22,46,3.57884
22,47,4.8040899999999995
23,0,20.678400000000003
23,1,12.5731
23,2,2.95613
23,3,1.8803199999999998
23,4,4.54117
23,5,3.58615
23,6,1.14199
23,7,2.15397
23,8,1.92578
23,9,3.19612
23,10,9.62052
23,11,1.86845
23,12,1.23683
23,13,1.22676
23,14,1.08123
23,15,20.678400000000003
23,16,5.70098
23,17,1.78986
23,18,2.65617
23,19,2.86044
23,20,25.5094
23,21,1.80664
23,22,5.59835
23,23,4.345870000000001
23,24,3.14188
23,25,9.71441
23,26,8.33866
23,27,5.5718499999999995
23,28,4.73891
23,29,2.49968
23,30,24.9058
23,31,2.5338700000000003
23,32,1.2640799999999999
23,33,1.39798
23,34,3.1254
23,35,9.804960000000001
23,36,10.7872
23,37,14.9043
23,38,3.45421
23,39,1.5281600000000002
23,40,31.8094
23,41,9.26264
23,42,4.04585
23,43,2.94699
23,44,5.14905
23,45,3.91007
23,46,8.66047
23,47,3.1114699999999997
