policy,env,spent,rounds,decide_seconds,nlpd,flux_dex,topm_regret
uniform,1,30.0,6,9.309034794569016e-06,4.393769312094995,0.4138540742346583,0.47352582228003476
uniform,1,60.0,12,1.5085068298503757e-05,4.2305377202981855,0.39990310802986934,0.4246267994569193
uniform,1,90.0,18,2.0150066120550036e-05,4.122718096448701,0.37063838959201895,0.4472260029162962
uniform,1,120.0,24,2.4932058295235038e-05,3.9995718871191315,0.3647043873463044,0.32499644252033627
random,1,15.0,1,1.7596990801393986e-05,4.44197796539946,0.43078828914982087,0.5309341271953836
random,1,30.0,2,3.172201104462147e-05,4.4291589615295655,0.4287992882820461,0.5309341271953836
random,1,60.0,4,5.4845004342496395e-05,4.318437745082321,0.41664033798487743,0.4423672808969202
random,1,90.0,8,8.583901217207313e-05,4.2278830503647535,0.3854568012051409,0.4850795536158224
random,1,120.0,12,0.00011800299398601055,4.228946193552144,0.37883286509957836,0.4850795536158224
eig@gamma-poisson,1,15.0,30,0.08945290601695888,4.394479488291952,0.3320708254993012,0.17112841580826765
eig@gamma-poisson,1,30.0,60,0.11905218102037907,4.146235044993422,0.27501657882470226,0.10695231972785701
eig@gamma-poisson,1,60.0,120,0.17382597987307236,3.7139359163284005,0.18601863958249015,0.0
eig@gamma-poisson,1,90.0,180,0.22708850679919124,3.7043129401678505,0.17603951273340407,0.0
eig@gamma-poisson,1,120.0,240,0.27935090989922173,3.5556574064120725,0.14307695650388463,0.0
eig@lognormal-poisson,1,15.0,30,33.29925808199914,4.287353793631515,0.3246764103060014,0.17112841580826765
eig@lognormal-poisson,1,30.0,60,33.912366747972555,4.057519415342551,0.2718275450097579,0.07395707252068773
eig@lognormal-poisson,1,60.0,120,34.95220751405577,3.7429146238748054,0.18623912969567774,0.0
eig@lognormal-poisson,1,90.0,180,35.85975097503979,3.6778112760871657,0.16923221756627765,0.0
eig@lognormal-poisson,1,120.0,240,36.70554244815139,3.5441966376507246,0.1456291921497815,0.0
eig,2,15.0,30,1.864352906908607,4.080189073770839,0.28983742452071826,0.008953439787214055
eig,2,30.0,60,2.211852721957257,3.9047843163079548,0.22092226263407952,0.008953439787214055
eig,2,60.0,120,2.8530722539580893,3.8295070165484035,0.2042015146460194,0.0008132316696833684
eig,2,90.0,180,3.4635579729801975,3.630333397289484,0.1748975092393774,0.0008132316696833684
eig,2,120.0,240,4.052565508027328,3.4458231885129287,0.13048135781711387,0.0008132316696833684
epig,2,15.0,30,9.279640996071976,4.080189073770839,0.28983742452071826,0.008953439787214055
epig,2,30.0,60,12.39371570313233,3.9047843163079548,0.22092226263407952,0.008953439787214055
