policy,env,source,flux_true,time_allocated
predictive-variance,0,20,28.5706,1.0
predictive-variance,0,21,3.60401,0.5
predictive-variance,0,22,3.39364,0.5
predictive-variance,0,23,1.33143,0.0
predictive-variance,0,24,1.5639500000000002,0.5
predictive-variance,0,25,5.339799999999999,0.5
predictive-variance,0,26,6.225099999999999,0.5
predictive-variance,0,27,1.6318,0.5
predictive-variance,0,28,4.40425,0.0
predictive-variance,0,29,2.18386,0.5
predictive-variance,0,30,26.5834,1.0
predictive-variance,0,31,2.79027,0.5
predictive-variance,0,32,1.65696,0.5
predictive-variance,0,33,2.95279,0.0
predictive-variance,0,34,2.9660699999999998,0.5
predictive-variance,0,35,11.677,0.5
predictive-variance,0,36,12.8104,1.0
predictive-variance,0,37,2.05518,0.5
predictive-variance,0,38,1.9180400000000002,0.0
predictive-variance,0,39,10.5449,0.5
predictive-variance,0,40,8.630279999999999,0.5
predictive-variance,0,41,6.4809,0.5
predictive-variance,0,42,10.3273,0.5
predictive-variance,0,43,1.31786,0.0
predictive-variance,0,44,2.96704,0.5
predictive-variance,0,45,19.5623,0.5
predictive-variance,0,46,2.13791,0.5
predictive-variance,0,47,20.8898,0.5
epistemic,0,0,24.0244,25.0
epistemic,0,1,3.12204,0.5
epistemic,0,2,17.2236,0.5
epistemic,0,3,1.2693200000000002,0.0
epistemic,0,4,6.87258,0.5
epistemic,0,5,31.879,25.0
epistemic,0,6,30.619500000000002,1.5
epistemic,0,7,10.731900000000001,0.5
epistemic,0,8,1.65587,0.0
epistemic,0,9,3.32141,0.5
epistemic,0,10,4.1920399999999995,25.0
epistemic,0,11,1.16333,0.5
epistemic,0,12,1.52467,0.5
epistemic,0,13,2.15881,0.0
epistemic,0,14,5.45463,0.5
epistemic,0,15,4.38114,25.0
epistemic,0,16,1.44986,0.5
epistemic,0,17,1.81945,0.5
epistemic,0,18,15.3468,0.0
epistemic,0,19,3.14188,0.5
epistemic,0,20,28.5706,1.0
epistemic,0,21,3.60401,0.5
epistemic,0,22,3.39364,0.5
epistemic,0,23,1.33143,0.0
epistemic,0,24,1.5639500000000002,0.5
epistemic,0,25,5.339799999999999,0.5
epistemic,0,26,6.225099999999999,0.5
epistemic,0,27,1.6318,0.5
epistemic,0,28,4.40425,0.0
epistemic,0,29,2.18386,0.5
epistemic,0,30,26.5834,1.0
epistemic,0,31,2.79027,0.5
epistemic,0,32,1.65696,0.5
epistemic,0,33,2.95279,0.0
epistemic,0,34,2.9660699999999998,0.5
epistemic,0,35,11.677,0.5
epistemic,0,36,12.8104,1.0
epistemic,0,37,2.05518,0.5
epistemic,0,38,1.9180400000000002,0.0
epistemic,0,39,10.5449,0.5
epistemic,0,40,8.630279999999999,0.5
epistemic,0,41,6.4809,0.5
epistemic,0,42,10.3273,0.5
epistemic,0,43,1.31786,0.0
epistemic,0,44,2.96704,0.5
epistemic,0,45,19.5623,0.5
epistemic,0,46,2.13791,0.5
epistemic,0,47,20.8898,0.5
thompson,0,0,24.0244,25.0
thompson,0,1,3.12204,0.5
thompson,0,2,17.2236,0.0
thompson,0,3,1.2693200000000002,0.0
thompson,0,4,6.87258,0.5
thompson,0,5,31.879,27.0
thompson,0,6,30.619500000000002,5.0
thompson,0,7,10.731900000000001,25.0
thompson,0,8,1.65587,0.0
thompson,0,9,3.32141,0.5
thompson,0,10,4.1920399999999995,0.5
thompson,0,11,1.16333,0.5
thompson,0,12,1.52467,0.0
thompson,0,13,2.15881,0.0
thompson,0,14,5.45463,0.5
