site,dwell,exposure,mean_analytic,var_analytic,fano_analytic,mean_marginal,var_marginal,fano_marginal,fano_conditional,y_max_marginal
1,5.879932287106993,5.593604973336566,57.569759386071276,4702.041809438578,81.67555083748039,57.41285,4646.985439804699,80.93981468965048,1.0231968871477783,1548
1,13.281489698569587,12.6347384976077,130.03758017958998,23826.596434623425,183.22854363882666,130.17607,24169.276615738174,185.6660491881355,1.0584957106481914,3933
1,30.0,28.539129535224784,293.72664467057865,121195.92941188732,412.6146933241668,294.36526,121700.04942537953,413.43210617101875,0.9308622180824824,6708
2,0.1,0.07972415848224582,0.540001959068713,6.302476958492659,11.671211284792202,0.535205,6.168621451082255,11.52571715713092,1.0038035024336394,103
2,0.22587827631437318,0.18007955498583597,1.219747117208256,30.620468340100913,25.103948111953493,1.22975,32.071325294126474,26.079548927933708,1.0191137976194655,316
2,0.5102099571075231,0.40676059479660015,2.7551437637442655,152.76055090436736,55.44558251899145,2.7628,147.9875460977305,53.564335492156694,0.9964378893652325,430
2,1.1524534566987765,0.9187838202526527,6.223271243528495,771.5657946746678,123.98074332321765,6.208725,775.2395650722003,124.86292516937057,0.9820600820278155,1719
2,2.6031420033166066,2.07533305624204,14.057017815250218,3918.910778338899,278.7867832170875,14.13512,4214.198473577968,298.1367313173123,0.9447137962967292,3804
2,5.879932287106993,4.68772653522192,31.75174954229154,19954.704446221498,628.4599977599016,31.10478,18560.331762810412,596.7035215426829,0.9494927120167461,6365
2,13.281489698569587,10.588555896090769,71.72030456578507,101720.60871284506,1418.2958275022713,71.40741,102391.03273225557,1433.8992652479003,0.9370905859061864,22547
2,30.0,23.917247544673742,162.00058772061388,518784.7505358757,3202.36338543766,161.972255,527874.6837486337,3259.0438637076068,0.9101479000491757,43797
3,0.1,0.05670154158982439,0.02420972811210193,0.024476599894229505,1.011023328345194,0.024,0.024204121020605103,1.0085050425252127,0.9765166340508806,3
3,0.22587827631437318,0.12807646478677276,0.05468451656001208,0.05604612296513726,1.024899304058598,0.05549,0.056891144355721776,1.025250393867756,1.0281499322595213,3
3,0.5102099571075231,0.2892969110247474,0.12352044341660323,0.1304674948721657,1.0562421188218358,0.12156,0.12849380886904435,1.0570402177446887,0.9843915780538985,5
3,1.1524534566987765,0.6534588760534256,0.27900584848529414,0.314450396736957,1.1270387285574448,0.278645,0.3149935389426947,1.1304474831513027,1.0517930678448368,6
3,2.6031420033166066,1.4760216456527535,0.6302136013748739,0.8110552158066382,1.2869528903172516,0.633535,0.8192224998874993,1.29309746089403,0.9812712908603319,14
3,5.879932287106993,3.3340122512274837,1.4235156198842995,2.346187543309156,1.6481642424828815,1.41682,2.3297327362636815,1.6443392500555338,0.9810982185411409,19
3,13.281489698569587,7.530809405182676,3.215412545260523,7.92297657000965,2.464062218606448,3.22312,7.963117281186407,2.4706238927456647,1.015057180706256,42
3,30.0,17.010462476947318,7.262918433630579,31.28137882511227,4.306998503558214,7.27816,31.404444036620184,4.314887833823409,0.8888029667950984,79
4,0.1,0.09979074518419083,0.0225538859378911,0.028455224025582843,1.261655047114402,0.02298,0.02930206611033055,1.275111667116212,1.0,6
4,0.22587827631437318,0.22540561514331858,0.05094432879841822,0.08105354332440018,1.591021910311572,0.05122,0.08162691973459867,1.5936532552635427,0.9980430528375733,10
4,0.5102099571075231,0.5091423182015377,0.11507217176979387,0.26869238228821846,2.3349901036520584,0.11545,0.2717426562132811,2.3537692179582597,0.9823874755381604,21
4,1.1524534566987765,1.150041892340675,0.25992303811112527,1.043708648305667,4.015452635096735,0.259295,1.0190261981059907,3.929987844370276,0.964774951076321,36
4,2.6031420033166066,2.597694803312315,0.5871096782293608,4.586061903817869,7.81125243523285,0.58912,4.587540563302817,7.787107148463499,0.9469627381285196,86
4,5.879932287106993,5.867628245629902,1.3261532212593425,21.729205656184806,16.385139596124723,1.32656,21.907868105740526,16.514796244226062,0.9860120820216115,157
4,13.281489698569587,13.25369754176413,2.995492037468141,107.09389711432698,35.751688128286666,2.9748,102.53945765728828,34.46936185870925,0.9817853379497214,390
4,30.0,29.937223555257248,6.766165781367331,537.8865936736239,79.49651413432052,6.787235,534.3738379239646,78.73218444977441,0.8474586386809612,785
5,0.1,0.05416910679843279,0.748011060583964,1.3028896260669607,1.7418052950310774,0.75059,1.3123212135060678,1.7483862208476904,1.055633212188985,16
5,0.22587827631437318,0.12235624473119192,1.6895944902879196,4.520640181237557,2.6755770140249484,1.68613,4.533308289641448,2.6885876472403956,0.8918185875648024,34
5,0.5102099571075231,0.27637617656181235,3.8164269113649723,18.260703916853497,4.784764477599396,3.80041,17.872043192115964,4.702661868618376,1.1214337212895251,82
5,1.1524534566987765,0.6242737437613906,8.620479324189072,82.31661883838397,9.548960764560212,8.59133,80.53551150865754,9.37404470654224,1.096761137144543,147
5,2.6031420033166066,1.4100987718914353,19.471790107515197,395.4768319127892,20.310245217780654,19.50195,396.2100972479863,20.316434882049553,1.0011758786664253,440
5,5.879932287106993,3.1851068002785183,43.98254386240795,1962.3977063792204,44.61764905000161,43.84328,1940.2205999446,44.25354581008994,1.1294103098944932,744
5,13.281489698569587,7.194464339241009,99.3470119556203,9887.292189776887,99.52279384299628,99.82979,9962.778652449162,99.79765210814489,1.0252315052322367,1754
5,30.0,16.250732039529836,224.4033181751892,50163.47421164489,223.54158850932328,224.2285,49730.432079910395,221.78461738766657,0.9947936397867216,3992
6,0.1,0.061437651912384185,0.02201804870539972,0.022428754108066336,1.0186531244508463,0.02199,0.022406551932759658,1.0189427891204939,0.9882583170254403,3
6,0.22587827631437318,0.13877430914771793,0.04973398889381605,0.05182944875259966,1.0421333559883463,0.04856,0.05026217771088853,1.0350530830084128,0.949119373776908,3
6,0.5102099571075231,0.31346101747004473,0.11233827685573347,0.12302952170243872,1.0951700982598755,0.112225,0.12265116263081315,1.0929041000740756,0.8864970645792564,6
6,1.1524534566987765,0.7080403431788335,0.25374776340299926,0.3082955591496344,1.2149685775161019,0.254475,0.31337904127020627,1.2314728019263435,0.9863013698630136,9
6,2.6031420033166066,1.599309322782721,0.5731610741609684,0.8514693594429747,1.485567317510898,0.569515,0.8434218818844095,1.4809476166289026,1.1286511560484163,14
6,5.879932287106993,3.6124923312366843,1.2946463548197413,2.7146029377837486,2.096791087139556,1.292375,2.6903653112015564,2.081721877320094,0.9404818138875768,24
6,13.281489698569587,8.159835409786346,2.924324870633698,10.169084743519825,3.477412802400506,2.940355,10.31602905412027,3.508429782839239,0.9782686652800688,50
6,30.0,18.431295573715254,6.605414611619915,43.56890085161522,6.595937335253867,6.585835,43.11829794426472,6.547126969361473,1.137740039161112,99
7,0.1,0.04914020433069566,0.4574157728566999,0.5272524239426297,1.1526765258875504,0.458205,0.53160583600418,1.160192132351633,1.0237478182683664,7
7,0.22587827631437318,0.11099704651953632,1.0332028633187822,1.3895164108696356,1.3448631050114668,1.035575,1.392166380206901,1.3443414337029198,1.060570479748562,12
7,0.5102099571075231,0.25071821543819156,2.333780818495214,4.151728016622717,1.778970837244128,2.332475,4.122665987704938,1.7675070419639816,1.0388309298552603,23
